Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,EDV,Endeavour Mining Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,ERF,Enerplus Corporation,Energy,Oil & Gas,2020-06-22
2021-01-04,ENGH,Enghouse Systems Limited,Technology,Software,2020-06-22
2021-01-04,EQX,Equinox Gold Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,EQB,Equitable Group Inc.,Financial Services,Banks,2020-06-22
2021-01-04,ERO,Ero Copper Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,EIF,Exchange Income Corporation,Industrials,Transportation,2020-06-22
2021-01-04,FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance,2020-06-22
2021-01-04,FTT,Finning International Inc.,Industrials,Industrial Distribution,2020-06-22
2021-01-04,FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,FSV,FirstService Corporation,Real Estate,Real Estate,2020-06-22
2021-01-04,FVI,Fortuna Silver Mines Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,FTS,Fortis Inc.,Utilities,Regulated Utilities,2020-06-22
2021-01-04,FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,MIC,Genworth MI Canada Inc.,Financial Services,Insurance,2020-06-22
2021-01-04,WN,George Weston Limited,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,GEI,Gibson Energy Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories,2020-06-22
2021-01-04,GRT.UN,Granite Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,GC,Great Canadian Gaming Corporation,Consumer Cyclical,Travel & Leisure,2020-06-22
2021-01-04,GWO,Great-West Lifeco Inc.,Financial Services,Insurance,2020-06-22
2021-01-04,HR.UN,H&R Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,HCG,Home Capital Group Inc.,Financial Services,Banks,2020-06-22
2021-01-04,HBM,Hudbay Minerals Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,HSE,Husky Energy Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,H,Hydro One Limited,Utilities,Regulated Utilities,2020-06-22
2021-01-04,IAG,iA Financial Corporation Inc.,Financial Services,Insurance,2020-06-22
2021-01-04,IMG,Iamgold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,IGM,IGM Financial Inc.,Financial Services,Asset Management,2020-06-22
2021-01-04,IMO,Imperial Oil Limited,Energy,Oil & Gas,2020-06-22
2021-01-04,INE,Innergex Renewable Energy Inc.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,IFC,Intact Financial Corporation,Financial Services,Insurance,2020-06-22
2021-01-04,IPL,Inter Pipeline Ltd.,Energy,Oil & Gas,2020-06-22
2021-01-04,IFP,Interfor Corporation,Basic Materials,Forest Products,2020-06-22
2021-01-04,IIP.UN,InterRent Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,ITP,Intertape Polymer Group Inc.,Consumer Cyclical,Packaging & Containers,2020-06-22
2021-01-04,IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,JWEL,Jamieson Wellness Inc.,Consumer Defensive,Consumer Packaged Goods,2020-06-22
2021-01-04,KEY,Keyera Corp.,Energy,Oil & Gas,2020-06-22
2021-01-04,KMP.UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,KXS,Kinaxis Inc.,Technology,Software,2020-06-22
2021-01-04,K,Kinross Gold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,KL,Kirkland Lake Gold Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,GUD,Knight Therapeutics Inc.,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel,2020-06-22
2021-01-04,LB,Laurentian Bank of Canada,Financial Services,Banks,2020-06-22
2021-01-04,LSPD,Lightspeed POS Inc.,Technology,Software,2020-06-22
2021-01-04,LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts,2020-06-22
2021-01-04,L,Loblaw Companies Limited,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,LUG,Lundin Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,MAG,MAG Silver Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts,2020-06-22
2021-01-04,MFC,Manulife Financial Corporation,Financial Services,Insurance,2020-06-22
2021-01-04,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods,2020-06-22
2021-01-04,MRE,Martinrea International Inc.,Consumer Cyclical,Vehicles & Parts,2020-06-22
2021-01-04,MEG,MEG Energy Corp.,Energy,Oil & Gas,2020-06-22
2021-01-04,MX,Methanex Corporation,Basic Materials,Chemicals,2020-06-22
2021-01-04,MRU,Metro Inc.,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,MSI,Morneau Shepell Inc.,Industrials,Business Services,2020-06-22
2021-01-04,MTL,Mullen Group Ltd.,Energy,Oil & Gas,2020-06-22
2021-01-04,NA,National Bank of Canada,Financial Services,Banks,2020-06-22
2021-01-04,NGD,New Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,NFI,NFI Group Inc.,Consumer Cyclical,Vehicles & Parts,2020-06-22
2021-01-04,OSB,Norbord Inc.,Basic Materials,Forest Products,2020-06-22
2021-01-04,NPI,Northland Power Inc.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,NWH.UN,NorthWest Healthcare Properties Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining,2020-06-22
