Last Index Change,Symbol,Company,Sector,Industry
2020-06-22,SNC,SNC-Lavalin Group Inc.,Industrials,Construction
2020-06-22,TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure
2020-06-22,SII,Sprott Inc.,Financial Services,Asset Management
2020-06-22,SSRM,SSR Mining Inc.,Basic Materials,Metals & Mining
2020-06-22,STN,Stantec Inc.,Industrials,Construction
2020-06-22,SJ,Stella-Jones Inc.,Basic Materials,Forest Products
2020-06-22,SMU.UN,Summit Industrial Income REIT,Real Estate,REITs
2020-06-22,SLF,Sun Life Financial Inc.,Financial Services,Insurance
2020-06-22,SU,Suncor Energy Inc.,Energy,Oil & Gas
2020-06-22,SPB,Superior Plus Corp.,Utilities,Regulated Utilities
2020-06-22,TRP,TC Energy Corporation,Energy,Oil & Gas
2020-06-22,TECK.B,Teck Resources Limited,Basic Materials,Metals & Mining
2020-06-22,T,Telus Corporation,Communication Services,Telecommunication Services
2020-06-22,TGZ,Teranga Gold Corporation,Basic Materials,Metals & Mining
2020-06-22,TFII,TFI International Inc.,Industrials,Transportation
2020-06-22,NWC,The North West Company Inc.,Consumer Defensive,Retail Defensive
2020-06-22,TRI,Thomson Reuters Corporation,Industrials,Business Services
2020-06-22,X,TMX Group Limited,Financial Services,Capital Markets
2020-06-22,TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining
2020-06-22,TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
2020-06-22,TD,Toronto-Dominion Bank,Financial Services,Banks
2020-06-22,TOU,Tourmaline Oil Corp.,Energy,Oil & Gas
2020-06-22,TA,TransAlta Corporation,Utilities,Independent Power Producers
2020-06-22,RNW,TransAlta Renewables Inc.,Utilities,Independent Power Producers
2020-06-22,TCL.A,Transcontinental Inc.,Industrials,Business Services
2020-06-22,TCN,Tricon Capital Group Inc.,Real Estate,Real Estate
2020-06-22,TRIL,Trillium Therapeutics Inc.,Healthcare,Biotechnology
2020-06-22,VET,Vermilion Energy Inc.,Energy,Oil & Gas
2020-06-22,WCN,Waste Connections Inc.,Industrials,Waste Management
2020-06-22,WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining
2020-06-22,WFT,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products
2020-06-22,WTE,Westshore Terminals Investment Corporation,Industrials,Transportation
2020-06-22,WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining
2020-06-22,WCP,Whitecap Resources Inc.,Energy,Oil & Gas
2020-06-22,WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers
2020-06-22,WIR.UN,WPT Industrial Real Estate Investment Trust,Real Estate,REITs
2020-06-22,WSP,WSP Global Inc.,Industrials,Construction
2020-06-22,YRI,Yamana Gold Inc.,Basic Materials,Metals & Mining
2019-09-23,ARE,Aecon Group Inc.,Industrials,Construction
2019-09-23,AFN,Ag Growth International Inc.,Industrials,Farm & Heavy Construction Machinery
2019-09-23,AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
2019-09-23,AC,Air Canada,Industrials,Transportation
2019-09-23,ASR,Alacer Gold Corp.,Basic Materials,Metals & Mining
2019-09-23,AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
2019-09-23,AD,Alaris Royalty Corp.,Industrials,Conglomerates
2019-09-23,AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers
2019-09-23,ATD.B,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail - Defensive
2019-09-23,AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
2019-09-23,ALA,AltaGas Ltd.,Utilities,Regulated Utilities
2019-09-23,AIF,Altus Group Limited,Real Estate,Real Estate
2019-09-23,APHA,Aphria Inc.,Healthcare,Drug Manufacturers
2019-09-23,ARX,ARC Resources Ltd.,Energy,Oil & Gas
2019-09-23,ATZ,Aritzia Inc.,Consumer Cyclical,Retail Cyclical
2019-09-23,AX.UN,Artis Real Estate Investment Trust,Real Estate,REITs
2019-09-23,ACO.X,ATCO Ltd.,Utilities,Regulated Utilities
2019-09-23,ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products
2019-09-23,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers
2019-09-23,BTO,B2Gold Corp.,Basic Materials,Metals & Mining
2019-09-23,BAD,Badger Daylighting Ltd.,Industrials,Construction
2019-09-23,BLDP,Ballard Power Systems Inc.,Industrials,Industrial Products
2019-09-23,BMO,Bank of Montreal,Financial Services,Banks
2019-09-23,BNS,Bank of Nova Scotia,Financial Services,Banks
2019-09-23,ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
2019-09-23,BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers
2019-09-23,BTE,Baytex Energy Corp.,Energy,Oil & Gas
2019-09-23,BCE,BCE Inc.,Communication Services,Telecommunication Services
2019-09-23,BB,BlackBerry Limited,Technology,Software
2019-09-23,BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
2019-09-23,BBD.B,Bombardier Inc.,Industrials,Aerospace & Defense
2019-09-23,BLX,Boralex Inc.,Utilities,Independent Power Producers
2019-09-23,BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services
2019-09-23,BAM.A,Brookfield Asset Management Inc.,Financial Services,Asset Management
2019-09-23,BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates
2019-09-23,BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
2019-09-23,BPY.UN,Brookfield Property Partners L.P.,Real Estate,Real Estate
2019-09-23,BEP.UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers
2019-09-23,DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts
2019-09-23,CAE,CAE Inc.,Industrials,Aerospace & Defense
2019-09-23,CCO,Cameco Corporation,Energy,Other Energy Sources
2019-09-23,GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel & Accessories
2019-09-23,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
2019-09-23,CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
2019-09-23,CNR,Canadian National Railway Company,Industrials,Transportation
2019-09-23,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas
2019-09-23,CP,Canadian Pacific Railway Limited,Industrials,Transportation
2019-09-23,CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail Cyclical
2019-09-23,CU,Canadian Utilities Limited,Utilities,Regulated Utilities
2019-09-23,CWB,Canadian Western Bank,Financial Services,Banks
2019-09-23,CFP,Canfor Corporation,Basic Materials,Forest Products
2019-09-23,WEED,Canopy Growth Corporation,Healthcare,Drug Manufacturers
2019-09-23,CPX,Capital Power Corporation,Utilities,Independent Power Producers
2019-09-23,CJT,Cargojet Inc.,Industrials,Transportation
2019-09-23,CAS,Cascades Inc.,Basic Materials,Forest Products
2019-09-23,CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
2019-09-23,CLS,Celestica Inc.,Technology,Hardware
2019-09-23,CVE,Cenovus Energy Inc.,Energy,Oil & Gas
2019-09-23,CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
2019-09-23,GIB.A,CGI Inc.,Technology,Software
2019-09-23,CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate
2019-09-23,CHE.UN,Chemtrade Logistics Income Fund,Basic Materials,Chemicals
2019-09-23,CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
2019-09-23,CHR,Chorus Aviation Inc.,Industrials,Transportation
2019-09-23,CIX,CI Financial Corp.,Financial Services,Asset Management
2019-09-23,CGX,Cineplex Inc.,Communication Services,Diversified Media
2019-09-23,CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services
2019-09-23,CIGI,Colliers International Group Inc.,Real Estate,Real Estate
2019-09-23,CUF.UN,Cominar Real Estate Investment Trust,Real Estate,REITs
2019-09-23,CSU,Constellation Software Inc.,Technology,Software
2019-09-23,CJR.B,Corus Entertainment Inc.,Communication Services,Diversified Media
2019-09-23,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas
